A MONSEIGNEVR LE DVC D’ESPERNON.	A MONSEIGNEUR LE DUC D’ÉPERNON.
Vous leur ferez donc voir, ie m’aſſeure, & aux Italiens meſmes qui nous appellent barbares, cõme quoy on parloit au ſiecle d’Auguſte, & en vn temps encore plus eſloigné de la corruption des bonnes choſes, En effect outre la proprieté de mots, & la chaſteté du style qui donne tant de lumiere à ce que vous eſcriuez, vos penſées ſont ſi hautes & ſi courageuſes qu’il y a apparence que l’ancienne Republique en auoit de telles lors qu’elle eſtoit victorieuſe du monde, & que le Senat conceuoit en de ſemblables termes les commandemens qu’il faiſoit aux Roys, & les reſponces qu’il rendoit aux nations de la terre nous en dirons dauantage quand vous ſerez arriué où ie vous attends, & que pour des fleurs, des fruicts, & de l’ombre que ie vous prepare, vous m’apporterez toutes les richeſſes de l’art & de la nature.	Vous leur ferez donc voir, je m’assure, et aux Italiens mêmes qui nous appellent barbares, comme quoi on parlait au siècle d’Auguste, et en un temps encore plus éloigné de la corruption des bonnes choses, En effet outre la propriété de mots, et la chasteté du style qui donne tant de lumière à ce que vous écrivez, vos pensées sont si hautes et si courageuses qu’il y a apparence que l’ancienne République en avait de telles lors qu’elle était victorieuse du monde, et que le sénat concevait en de semblables termes les commandements qu’il faisait aux Rois, et les réponses qu’il rendait aux nations de la terre nous en dirons davantage quand vous serez arrivé où je vous attends, et que pour des fleurs, des fruits, et de l’ombre que je vous prépare, vous m’apporterez toutes les richesses de l’art et de la nature.
Balzac.	Balzac.
Le 4.	Le 4.
Septembre 1622.	Septembre 1622.
A MONSEIGNEVR LE DVC D’ESPERNON.	À MONSEIGNEUR LE DUC D’ÉPERNON.
Lettre XXXII.	Lettre XXXII.
Monseignevr, La lettre que ie viens de reçeuoir de voſtre part m’a appris que ie ſuis plus heureux que ie ne croyois, puis que i’ay l’honneur d'eſtre quelquefois en voſtre memoire :	Monseigneur, La lettre que je viens de recevoir de votre part m’a appris que je suis plus heureux que je ne croyais, puisque j’ai l’honneur d'être quelquefois en votre mémoire:
C’eſt vn lieu qui eſt remply de tant de grandes penſees, & que le bien general du monde occupe de telle façon, que ie ne pouuois m’imaginer qu’il y euſt place pour vn homme de ſi peu d’importance que ie ſuis.	C’est un lieu qui est rempli de tant de grandes pensées, et que le bien général du monde occupe de telle façon, que je ne pouvais m’imaginer qu’il y eût place pour un homme de si peu d’importance que je suis.
Mais ie voy bien que comme il n’y a iamais eu de trop grands ennemis pour voſtre courage, qu’auſſi vous n’auez point de ſi petits ſeruiteurs que vous ne iugiez dignes de voſtre ſoin.	Mais je vois bien que comme il n’y a jamais eu de trop grands ennemis pour votre courage, qu’aussi vous n’avez point de si petits serviteurs que vous ne jugiez dignes de votre soin.
En cela, Monſeigneur, vous faites paroiſtre que les choſes baſſes changent leur nature en vne plus noble ſi toſt qu’elles ſont à vous, & que de tous les hommes, vous en auez vaincu vne partie, & gaigné l’autre ;	En cela, Monseigneur, vous faites paraître que les choses basses changent leur nature en une plus noble sitôt qu’elles sont à vous, et que de tous les hommes, vous en avez vaincu une partie, et gagné l’autre;
ie croy veritablement que ce ſeroit offenſer Dieu de ne vouloir pas ſe ſouſmettre à vne perſonne qui luy eſt ſi chere que vous eſtes, & qu’il entend que cet eſprit de commandement qu’il vous a donné, ſoit maiſtre de tous les autres.	je crois véritablement que ce serait offenser Dieu de ne vouloir pas se souſmettre à une personne qui lui est si chère que vous êtes, et qu’il entend que cet esprit de commandement qu’il vous a donné, soit maître de tous les autres.
C’eſt pourquoy l’honneur qui vous appartient eſtant le meſme que celuy qu’on rend aux choſes ſainctes, & outre la Prouidence qui gouuerne le monde, y en ayant vne particuliere dans le Ciel qui n’eſt deſtinée qu’à la conduite de voſtre vie afin de la faire admirer de tous les ſiecles il faut bien, tant pour cette commune conſideration, que pour d’autres qui ſeulement me regardent, que ie ſois.	C’est pourquoi l’honneur qui vous appartient étant le même que celui qu’on rend aux choses saintes, et outre la providence qui gouverne le monde, y en ayant une particulière dans le Ciel qui n’est destinée qu’à la conduite de votre vie afin de la faire admirer de tous les siècles il faut bien, tant pour cette commune considération, que pour d’autres qui seulement me regardent, que je sois.
MONSIEVR, Voſtre tres-humble & tres-fidelle ſeruiteur.	MONSIEUR, votre très humble et très fidèle serviteur.
Balzac.	Balzac.
Le 5.	Le 5.
Aouſt 1622.	Août 1622.
A MONSEIGNEVR AA.	À MONSEIGNEUR AA.
Lettre XXXIII.	Lettre XXXIII.
Monseignevr, Ie vous ſupplie de trouuer bon que ie vous confirme les aſseurances de mon tres-humble ſeruice, & que ie vous demãde de vos nouuelles :	Monseigneur, je vous supplie de trouver bon que je vous confirme les assurances de mon très humble service, et que je vous demande de vos nouvelles:
C’eſt la ſeule choſe pour laquelle i’ay encore de la curioſité, & qui au fonds de ma ſolitude m’oblige quelquefois de tourner la teſte du coſté du monde.	C’est la seule chose pour laquelle j’ai encore de la curiosité, et qui au fonds de ma solitude m’oblige quelquefois de tourner la tête du côté du monde.
En tout cas, ie ſuis fort aſſeuré que vous demeurerez ferme dans les ruines publiques, & que la fortune ne vous ſçauroit oſter les choſes qu’elle ne vous a point données :	En tout cas, je suis fort assuré que vous demeurerez ferme dans les ruines publiques, et que la fortune ne vous saurait ôter les choses qu’elle ne vous a point données:
Ie voudrois pourtant que voſtre vie fuſt vn peu plus tranquille, & moins glorieuſe ;	Je voudrais pourtant que votre vie fût un peu plus tranquille, et moins glorieuse;
& il me ſemble que cette bonté qui eſt ſi proche de l’infinie, & qui trouueroit de l’amour parmy les beſtes ſauuages, merite bien d’obtenir des hõmes des trefues & du repos.	et il me semble que cette bonté qui est si proche de l’infinie, et qui trouverait de l’amour parmi les bêtes sauvages, mérite bien d’obtenir des hommes des trêves et du repos.
Nous ne faiſons pas l’auenir, ny nos ſouhaits ne reiglent pas l’euenement des affaires ;	Nous ne faisons pas l’avenir, ni nos souhaits ne règlent pas l’événement des affaires;
Mais certes s’il y a quelque iuſtice dans le Ciel, & ſi Dieu a ſoin des choſes du monde, il faut croire que les larmes des gens de bien ne ſeront pas perdues, & qu’Artemize ne vieillira pas en les mal-heurs :	Mais certes s’il y a quelque justice dans le Ciel, et si Dieu a soin des choses du monde, il faut croire que les larmes des gens de bien ne seront pas perdues, et qu’Artemise ne vieillira pas en les malheurs:
A tout le moins, puis que nos penſées ſont encore en noſtre puiſſance, & qu’il n’eſt pas deffendu de bien eſperer, vſons de ce peu de liberté qui nous reſte.	À tout le moins, puisque nos pensées sont encore en notre puissance, et qu’il n’est pas défendu de bien espérer, usons de ce peu de liberté qui nous reste.
La vertu qu’ell’a employee iuſques icy à combattre ſes deſplaiſirs, luy ſeruira peut-eſtre quelque iour à moderer ſes ioyes ;	La vertu qu’elle a employée jusques ici à combattre ses déplaisirs, lui servira peut-être quelque jour à modérer ses joies;
Et ſi Dieu fit mourir ſubitement vne femme, pource qu’elle deuoit ſe mettre en la place qu’il deſtinoit à cette grande Princeſſe, il n’a garde de laiſſer long-temps viure celuy qui l’a offenſée.	Et si Dieu fit mourir subitement une femme, pource qu’elle devait se mettre en la place qu’il destinait à cette grande Princesse, il n’a garde de laisser longtemps vivre celui qui l’a offensée.
Quoy qu’il en ſoit, Monſeigneur, vous auez beaucoup de gloire de ne vous eſtre point eſloigné de ſon affliction, & d’auoir m’eſpriſé toutes les grãdeurs du monde pour eſtre mal-heureux auec elle.	Quoi qu’il en soit, Monseigneur, vous avez beaucoup de gloire de ne vous être point éloigné de son affliction, et d’avoir m’éprisé toutes les grandeurs du monde pour être malheureux avec elle.
Ie ſçay bien qu’en cela vous vous contentez du teſmoignage que vous rend voſtre conſcience, & que ce n’eſt pas tant pour l’opinion des hommes que vous faites de bonnes actions, que pour voſtre ſatisfaction particuliere ;	Je sais bien qu’en cela vous vous contentez du témoignage que vous rend votre conscience, et que ce n’est pas tant pour l’opinion des hommes que vous faites de bonnes actions, que pour votre satisfaction particulière;
Toutesfois ſi ne deuez vous pas receuoir de petits contentements d’eſtre auiourd’huy loüé, comme vous eſtes, de vos propres ennemis, & de voir que voſtre eſprit eſt redoutable à ceux qui ont des armées ſur pied, & toutes les forces de l’Eſtat entre les mains.	Toutefois si ne devez vous pas recevoir de petits contentements d’être aujourd’hui loué, comme vous êtes, de vos propres ennemis, et de voir que votre esprit est redoutable à ceux qui ont des armées sur pied, et toutes les forces de l’État entre les mains.
I’en dirois dauantage ſi ie ne craignois que vous pourriez penſer qu’il y euſt du deſſein en mes paroles, & que ie vous vouluſſe preparer par là à reçeuoir de moy quelque ſorte d’importunité.	J’en dirais davantage si je ne craignais que vous pourriez penser qu’il y eût du dessein en mes paroles, et que je vous voulusse préparer par là à recevoir de moi quelque sorte d’importunité.
Ie vous ſupplie tres humblement de croitre qu’eſtant nay de condition libre, ie ne ſçay que c’eſt de flatter perſonne, & que ie ne m’attache point tant aux choſes vtiles, que quand vous ſeriez encore en Auignon, ie ne fuſſe auſſi veritablement que ie ſuis à cette heure.	Je vous supplie très humblement de croitre qu’étant né de condition libre, je ne sais que c’est de flatter personne, et que je ne m’attache point tant aux choses utiles, que quand vous seriez encore en Avignon, je ne fusse aussi véritablement que je suis à cette heure.
MONSIEVR, Voſtre tres-humble, & tres-affectionné ſeruiteur.	MONSIEUR, votre très humble, et très affectionné serviteur.
Balzac.	Balzac.
Le 15.	Le 15.
May 1620.	May 1620.
A MONSIEVR DE BOISRobert.	À MONSIEUR DE BOISRobert.
Lettre XXXIIII.	Lettre XXXIIII.
Monsievr, Vous m’auez pris ce que ie vous voulois dire, & dans toute la Rhetorique vo9 n’auez laiſsé ny complimens ny loüanges pour vous rendre.	Monsieur, Vous m’avez pris ce que je vous voulais dire, et dans toute la Rhétorique vous n’avez laissé ni compliments ni louanges pour vous rendre.
Cela s’appelle faire vn ingrat à force d’obliger vn amy, & me redire a la neceſſité de vous deuoir encore apres ceſte vie.	Cela s’appelle faire un ingrat à force d’obliger un ami, et me redire a la nécessité de vous devoir encore après cette vie.
Veritablement pour les vœux & les ſacrifices que vous me faites, il faudroit que i’euſſe à vous donner la felicité & le Paradis, & que ie peuſſe vous exaucer au lieu d’eſtre en peine de vous reſpondre.	Véritablement pour les vœux et les sacrifices que vous me faites, il faudrait que j’eusse à vous donner la félicité et le Paradis, et que je pusse vous exaucer au lieu d’être en peine de vous répondre.
C’eſt peut-eſtre que vous auez deſſein de me deſguiſer tellement à moy-meſme, que ie ne me connoiſſe plus, & que i’oublie mon propre nom comme ſi i’eſtois deuenu Pape.	C’est peut-être que vous avez dessein de me déguiser tellement à moi-même, que je ne me connaisse plus, et que j’oublie mon propre nom comme si j’étais devenu Pape.
Vous continuerez tant qu’il vous plairra à me tromper de la ſorte ;	Vous continuerez tant qu’il vous plaira à me tromper de la sorte;
car ie ne ſuis pas reſolu de conteſter auecque vous iuſques à la fin du monde, ny de me deffendre d’vn ennemy qui ne me iette que des roſes à la teſte.	car je ne suis pas résolu de contester avec vous jusques à la fin du monde, ni de me défendre d’un ennemi qui ne me jette que des roſes à la tête.
